ID  Name Narrative CrossRef  Index
org86 "Free Church of Scotland ('Wee Frees')"  "The 'wee-frees' were theÃŠminority of members of theÃŠFree Church of ScotlandÃŠwho in 1900 rejected the union of their churchÃŠwth the United Presbyterian Church to form the United Free Church (UFC).ÃŠAround 25 ministers and 60 congregations, mostly in the highlands and islands, adhered toÃŠstrict calvinist and presybterian precepts; they retained the name Free Church, and claimed the property of the whole church. A searing disputeÃŠfollowed, which was only resolved by the Churches (Scotland) Act, 1905, which allocated to the UFC much the property that the Free Church remnant could not itself use."  ""  
org87 "Sunday School Union"  "The Sunday School Union was an interdenominational organisation founded in 1803 to promote the work of Sunday Schools in Britain and abroad."  ""  
org88 ""  ""  ""  
org89 "Athenaeum"  "London club founded in 1824. Ordinary members of the club were nominated by existing members andÃŠelected by the full membership; under Rule II, however, the committee could elect each year a certain number of persons 'of distinguished eminence in Science, Literature, or the Arts, or for Public Service'; particularly popular among the more cultivated clergymen."  ""  
org90 ""  ""  ""  
org91 ""  ""  ""  
org92 ""  ""  ""  
org93 ""  ""  ""  
org94 ""  ""  ""  
org95 ""  ""  ""  
org96 ""  ""  ""  
org97 ""  ""  ""  
org98 ""  ""  ""  
org100 ""  ""  ""  
org99 ""  ""  ""  
org101 "Shop Assistants' Early-Closing Association"  "Founded in 1843 to limit the hours of work in shops and to abolish Sunday trading; early closing for a half day per week was achieved in the Shops Act (1911)."  ""  
org104 ""  ""  ""  
org103 "S. Margaret's Guild"  "One of the religious guilds or 'brotherhoods' attached to St Margaret's that had survived from the middle ages into the twentieth century."  ""  
org106 "L. C. C. (London County Council)"  "The local authority for the government of London from 1889 to 1965, and the first such body to be directly elected."  ""  
org105 ""  ""  ""  
org107 ""  ""  ""  
org108 ""  ""  ""  
org109 ""  ""  ""  
org110 "C. S. U. (Christian Social Union)"  "Founded in 1889 by Henry Scott Holland, its membership included Charles Gore, James Adderley, Frederic Lewis Donaldson and Percy Dearmer. The group's aim was to mobilise churchmen on social questions, presenting a social gospel as a solution to poverty and injustice and appealing to christian consciences. Though it numbered nearly 5,000 members by 1900, the membership was divided between those supporting general principles on morality, and more radical members such as Adderley and Donaldson who advocated economic principles more aligned with secular socialism. The CSU was subsumed in 1919 into the Industrial Christian Fellowship, with many of the radical wing having focussed their activities on the new Church Socialist League (founded 1906)."  ""  
org111 ""  ""  ""  
org112 ""  ""  ""  
org114 "Lambeth Conference"  "The decennial gathering of the worldwide Anglican communion convened by the archbishop of Canterbury to discuss matters of mutual interest.ÃŠThe conference first met in 1867. It has no authority over its constituent churches, existing instead to express the 'mind' of the communion."  ""  
org113 ""  ""  ""  
org115 ""  ""  ""  
org116 ""  ""  ""  
org117 ""  ""  ""  
org118 "United Free Church (UFs)"  "The church that resulted from the union in 1900 of the majority of the Free Church of Scotland and the United Presbyterian Church. The majority of this church itself merged with the established Church of Scotland, in the 'Scottish church union' of 1929. The minority remained independent, using the name United Free Church (Continuing) until dropping the last term in 1934."  ""  
org119 ""  ""  ""  
org120 ""  ""  ""  
org122 ""  ""  ""  
org121 "Home Reunion Society"  "Founded in 1870, the Home Reunion Society sought theÃŠreunion of Christians in the United Kingdom on the basis of acceptance of the truths of the Gospels and the principle of apostolic succession."  ""  
org123 ""  ""  ""  
org124 "Church Missionary Society"  "Established in 1799, originally as the Society for Missions to Africa and theÃŠEast,ÃŠas a result ofÃŠthe evangelical revival.ÃŠ Members of its founding committee included the politician and philanthropist Thomas Babington, the economist Henry Thornton, and William Wilberforce."  ""  
org125 ""  ""  ""  
org126 "Diocesan Conference"  "The practice ofÃŠholding diocesan conferences to bring together clergy and laity had increased throughout England and Wales in the second half of the nineteenth century; it spread to the metropolis in 1883, by which time only three dioceses remained without a conference: 'London diocesan church conference', <i>Times</i>, 8 Mar. 1882, 10. A central council of diocesan conferences was established in 1881 under the presidency of the politician Henry Raikes (1838-91; ODNB)."  "org.148"  
org127 ""  ""  ""  
org128 ""  ""  ""  
org129 ""  ""  ""  
org130 ""  ""  ""  
org131 ""  ""  ""  
org132 ""  ""  ""  
org133 ""  ""  ""  
org134 ""  ""  ""  
org135 ""  ""  ""  
org136 ""  ""  ""  
org137 ""  ""  ""  
org139 ""  ""  ""  
org138 "Charity Organisation Society"  "Founded in 1869 to campaign for the distribution of private charity to the Ã’deservingÃ“ poor only. Its guiding principle was that poverty was linked to character, and only those deemed capable of making a determined effort to escape from the condition should receive assistance. Its leading lights in the early twentieth century were Charles Stewart Loch, Helen Bosanquet and Bernard Bosanquet."  ""  
org140 ""  ""  ""  
org141 ""  ""  ""  
org142 ""  ""  ""  
org143 ""  ""  ""  
org144 ""  ""  ""  
org145 ""  ""  ""  
org146 ""  ""  ""  
org147 "St Paul's Guild"  "Probably one of the religious guilds or 'brotherhoods' attached to St Margaret's that had survived from the middle ages into the twentieth century."  ""  
org148 "London Diocesan Conference"  "The first meeting of the annual London Diocesan Conference took place in 1883: 'London diocesan conference', <i>Times</i>, 14 Feb. 1883, 10."  "org.126"  
org150 ""  ""  ""  
org149 ""  ""  ""  
org151 "Dean and Chapter of Westminster"  ""  ""  
org152 ""  ""  ""  
org153 ""  ""  ""  
org154 ""  ""  ""  
org155 ""  ""  ""  
org156 ""  ""  ""  
org157 "Children's Country Holiday Fund"  "The Children's Country Holidays Fund was founded in 1884 by the social reformer Henrietta Barnett (1851-1936; ODNB) for sending the children of the London slumsÃŠinto the countrysideÃŠfor fresh air."  ""  
org158 "Hunt Memorial Committee"  "Committee established in memory of Henry A. Hunt, recently deceased churchwarden and treasurer of the funds raised for restoration work at St Margaret's in the 1870s."  ""  
org159 ""  ""  ""  
org161 ""  ""  ""  
org160 ""  ""  ""  
org162 ""  ""  ""  
org163 ""  ""  ""  
org164 ""  ""  ""  
org165 ""  ""  ""  
org166 ""  ""  ""  
org167 ""  ""  ""  
